alpha,n_iterations,n_reps,labeling,value
0.1,10,10,[ 21 2 9 5 30 28 18 17 27 8 13 16 1 19 33 22 31 15 20 3 23 37 35 26 11 14 12 39 38 7 4 36 6 10 32 34 25 24 29 ],4
0.1,10,10,[ 13 3 7 15 27 20 28 14 30 12 25 37 16 4 39 11 2 34 10 8 1 38 18 19 9 33 23 32 36 6 31 26 24 22 29 21 35 17 5 ],4
0.1,10,10,[ 13 3 7 15 27 20 28 14 30 12 25 37 16 4 39 11 2 34 10 8 1 38 18 19 9 33 23 32 36 6 31 26 24 22 29 21 35 17 5 ],4
0.1,10,10,[ 13 3 7 15 27 20 28 14 30 12 25 37 16 4 39 11 2 34 10 8 1 38 18 19 9 33 23 32 36 6 31 26 24 22 29 21 35 17 5 ],4
0.1,10,10,[ 13 3 7 15 27 20 28 14 30 12 25 37 16 4 39 11 2 34 10 8 1 38 18 19 9 33 23 32 36 6 31 26 24 22 29 21 35 17 5 ],4
0.1,10,10,[ 22 28 10 3 5 8 23 26 17 27 1 38 19 7 31 39 32 25 30 33 21 37 20 15 11 29 24 18 4 35 34 14 2 12 36 16 9 6 13 ],5
0.1,50,10,[ 22 28 10 3 5 8 23 26 17 27 1 38 19 7 31 39 32 25 30 33 21 37 20 15 11 29 24 18 4 35 34 14 2 12 36 16 9 6 13 ],5
0.1,50,10,[ 37 34 11 5 36 24 7 9 15 19 3 18 6 13 32 17 30 21 29 14 27 28 2 31 22 25 10 35 20 12 16 8 33 4 26 1 23 39 38 ],6
0.1,50,10,[ 12 17 19 39 38 26 36 35 32 15 4 16 33 1 22 31 29 3 25 18 9 28 2 6 20 7 23 10 21 5 24 34 14 8 13 37 11 27 30 ],5
0.1,50,10,[ 35 10 3 29 4 9 39 24 28 18 8 2 11 5 17 1 33 20 13 27 6 12 38 14 19 25 16 36 34 26 32 7 22 30 15 23 37 31 21 ],6
0.1,50,10,[ 5 33 15 4 19 23 6 7 18 30 12 37 13 9 32 26 10 22 3 11 16 35 14 8 28 39 1 38 17 25 20 31 29 24 36 2 34 21 27 ],6
0.1,50,10,[ 37 23 11 13 19 26 32 12 30 5 14 9 28 16 24 8 21 2 17 15 35 33 38 31 39 22 25 18 10 3 4 27 1 7 34 36 6 20 29 ],6
0.1,50,10,[ 31 25 14 21 17 1 30 19 39 12 9 7 33 10 35 23 37 27 32 8 26 6 28 20 2 36 16 38 15 11 18 3 4 13 34 5 22 24 29 ],5
0.1,50,10,[ 8 1 5 23 10 26 6 25 22 27 30 32 17 29 14 13 21 2 7 35 33 36 20 18 15 11 19 37 31 28 9 34 16 24 3 38 4 12 39 ],5
0.1,50,10,[ 30 26 11 18 32 24 34 16 5 39 6 2 10 7 9 31 23 21 12 8 13 1 38 27 37 22 25 20 4 3 19 28 29 17 33 36 14 15 35 ],5
0.1,50,10,[ 36 27 6 11 29 17 25 22 4 23 37 8 5 34 7 24 9 14 2 38 26 28 1 20 15 30 10 3 31 13 35 21 19 33 12 18 32 39 16 ],5
0.1,100,10,[ 17 16 33 18 7 31 30 4 21 5 8 15 19 13 29 36 11 10 32 26 28 24 22 27 34 14 2 20 6 39 9 3 38 35 25 23 12 1 37 ],5
0.1,100,10,[ 14 30 23 12 24 35 7 16 38 18 4 5 11 21 3 25 20 36 29 19 37 26 34 13 9 31 10 33 15 39 1 8 28 17 22 6 27 2 32 ],5
0.1,100,10,[ 24 14 6 9 12 31 39 13 27 11 23 22 21 32 38 10 26 29 18 7 36 19 33 15 1 20 28 17 16 35 8 3 5 2 37 25 34 30 4 ],6
0.1,100,10,[ 7 1 35 23 39 19 13 17 36 8 9 25 15 10 32 12 24 33 5 6 29 34 2 20 27 26 21 37 22 28 30 11 4 16 38 18 31 14 3 ],6
0.1,100,10,[ 26 27 3 32 11 5 22 25 19 23 33 35 4 2 9 29 7 31 1 13 20 17 36 12 38 37 16 6 21 34 10 14 39 30 8 18 28 24 15 ],6
0.1,100,10,[ 10 16 31 4 32 36 29 33 34 39 7 26 1 5 8 6 9 23 35 2 13 27 25 24 11 20 12 37 3 19 15 17 18 22 28 21 30 38 14 ],5
0.1,100,10,[ 11 6 37 21 16 23 20 2 27 5 31 18 38 25 39 22 12 4 26 34 10 36 8 24 3 30 14 28 32 33 29 35 17 1 15 13 19 7 9 ],5
0.1,100,10,[ 2 26 24 18 39 8 38 21 9 19 34 33 6 1 7 36 17 22 3 28 5 10 14 30 27 29 4 20 31 11 23 12 15 37 16 32 13 35 25 ],5
0.1,100,10,[ 30 9 5 36 20 3 8 22 17 19 32 18 27 12 39 23 10 34 2 21 16 15 35 25 26 14 33 1 11 13 6 24 29 7 37 31 4 28 38 ],5
0.1,100,10,[ 21 27 24 25 36 12 15 13 6 1 38 23 34 18 29 30 28 10 3 33 16 19 39 4 26 35 14 8 31 2 5 22 32 37 17 11 20 7 9 ],6
0.15,10,10,[ 6 37 14 13 36 22 3 39 30 23 24 8 32 33 17 28 31 20 2 25 27 26 5 29 9 38 7 1 34 18 16 11 12 10 15 21 35 4 19 ],5
0.15,10,10,[ 23 30 3 11 25 32 28 1 10 7 34 18 39 29 37 33 36 13 26 31 4 19 8 35 17 12 6 24 14 15 22 21 20 27 9 38 16 2 5 ],5
0.15,10,10,[ 23 30 3 11 25 32 28 1 10 7 34 18 39 29 37 33 36 13 26 31 4 19 8 35 17 12 6 24 14 15 22 21 20 27 9 38 16 2 5 ],5
0.15,10,10,[ 23 30 3 11 25 32 28 1 10 7 34 18 39 29 37 33 36 13 26 31 4 19 8 35 17 12 6 24 14 15 22 21 20 27 9 38 16 2 5 ],5
0.15,10,10,[ 23 30 3 11 25 32 28 1 10 7 34 18 39 29 37 33 36 13 26 31 4 19 8 35 17 12 6 24 14 15 22 21 20 27 9 38 16 2 5 ],5
